time,flux
3115.603739867788,3675.9739
3115.605128732751,3688.6021
3115.6065175972485,3686.7407
3115.607906462211,3689.0315
3115.6092953271727,3677.6521
3115.6106841921355,3685.9763
3115.6120730570974,3684.7617
3115.613461921594,3699.5894
3115.6148507865573,3691.0471
3115.616239651519,3688.218
3115.6176285164815,3693.4019
3115.619017380978,3698.3975
3115.620406245939,3691.1362
3115.6217951109015,3708.7302
3115.623183975865,3687.2192
3115.624572840361,3706.8616
3115.6259617053233,3710.9839
3115.627350570286,3692.5479
3115.628739434783,3686.6182
3115.6301282997447,3685.9182
3115.6315171647075,3689.3345
3115.6329060292046,3689.5017
3115.6342948941674,3703.6465
3115.6356837591293,3682.2595
3115.6370726236264,3690.1133
3115.638461488588,3678.0764
3115.6398503535493,3694.3113
3115.6412392180464,3674.4163
3115.6426280830087,3679.115
3115.644016947971,3692.8511
3115.645405812468,3694.481
3115.64679467743,3684.7288
3115.6481835419268,3697.0525
3115.6495724068895,3696.0046
3115.650961271852,3679.8467
3115.6523501363486,3677.8906
3115.6537390013114,3691.9351
3115.655127865808,3688.4802
3115.65651673077,3680.4924
3115.657905595266,3684.5999
3115.6592944602285,3700.2961
3115.660683325191,3699.134
3115.6620721896875,3684.8892
3115.6634610546503,3705.3538
3115.664849919147,3705.249
3115.666238784109,3691.0354
3115.667627648606,3708.1958
3115.6690165135683,3691.0918
3115.670405378065,3683.1758
3115.6717942430278,3681.9534
3115.673183107524,3677.1482
3115.6745719724863,3697.7175
3115.6759608369834,3690.9854
3115.677349701945,3699.9277
3115.678738566441,3673.7561
3115.680127431404,3700.9304
3115.6815162959,3679.7803
3115.682905160397,3684.6035
3115.6842940253596,3674.9468
3115.6856828898567,3681.1895
3115.687071754819,3694.9497
3115.6884606193157,3704.4814
3115.6898494842785,3708.5852
3115.691238348775,3681.2864
3115.6926272132714,3685.8325
3115.694016078234,3700.1963
3115.6954049427304,3690.7778
3115.6967938076923,3694.8279
3115.698182672189,3677.8696
3115.6995715366857,3690.8743
3115.7009604016475,3707.0576
3115.7023492661447,3703.9507
3115.703738130641,3683.1768
3115.7051269956037,3670.7725
3115.706515860101,3678.5771
3115.707904724597,3679.4912
3115.7092935895594,3680.2192
3115.7106824540565,3686.5122
3115.7120713185536,3684.064
3115.713460183516,3691.418
3115.714849048012,3672.2332
3115.7162379125093,3687.47
3115.7176267774703,3686.5503
3115.719015641967,3706.9563
3115.720404506464,3692.8892
3115.7217933709608,3685.6104
3115.7231822359226,3709.1978
3115.7245711004202,3686.8005
3115.725959964917,3702.9727
3115.727348829413,3693.4663
3115.728737694376,3696.5969
3115.730126558872,3682.4297
3115.731515423369,3675.3093
3115.7329042878664,3687.2432
3115.7342931528283,3689.9929
3115.7356820173245,3689.8152
3115.7370708818207,3693.7976
3115.738459746318,3680.8118
3115.739848610814,3696.9197
3115.7412374757764,3706.7393
3115.742626340274,3693.9463
3115.74401520477,3691.8633
3115.745404069267,3697.938
3115.746792933764,3697.573
3115.7481817982607,3668.7871
