time,flux
3097.8621370230608,3706.8821
3097.86352592807,3700.7573
3097.864914832613,3688.7271
3097.8663037376227,3695.8721
3097.8676926426324,3708.2288
3097.869081547641,3704.4866
3097.870470452185,3698.2107
3097.871859357194,3709.6555
3097.8732482622027,3703.1741
3097.8746371667457,3702.9692
3097.8760260717554,3701.0442
3097.877414976765,3716.1392
3097.8788038813086,3693.2192
3097.880192786318,3703.9624
3097.881581690862,3697.1812
3097.8829705958706,3689.001
3097.884359500414,3710.5271
3097.885748405424,3695.04
3097.887137309968,3712.9211
3097.888526214977,3690.4829
3097.8899151195205,3704.6438
3097.8913040245297,3702.1809
3097.892692929073,3707.2424
3097.8940818340816,3708.991
3097.895470738625,3688.4924
3097.8968596431696,3691.3557
3097.8982485481783,3700.9844
3097.899637452722,3705.7766
3097.901026357266,3698.3975
3097.90241526181,3704.5564
3097.903804166819,3684.1646
3097.905193071362,3680.5449
3097.906581975906,3698.0854
3097.9079708804506,3695.7009
3097.909359784994,3693.7253
3097.9107486895364,3703.9668
3097.9121375945456,3714.7954
3097.913526499089,3704.946
3097.914915403632,3709.4639
3097.9163043081767,3697.5615
3097.9176932127207,3691.6938
3097.919082117264,3709.4141
3097.9204710218073,3693.4482
3097.9218599263513,3692.1943
3097.9232488308944,3714.3501
3097.9246377354384,3715.9075
3097.9260266399824,3706.781
3097.9274155440608,3689.3291
3097.928804448604,3694.6763
3097.930193353147,3681.0955
3097.93158225769,3699.7158
3097.932971162234,3714.405
3097.934360066778,3717.0811
3097.9357489708555,3707.5188
3097.9371378753995,3708.4792
3097.9385267799425,3686.9868
3097.9399156840204,3690.8513
3097.9413045885644,3700.145
3097.942693493109,3721.8118
3097.9440823971863,3696.9255
3097.94547130173,3709.6079
3097.946860206274,3676.908
3097.9482491103518,3733.1416
3097.949638014894,3677.2292
3097.9510269189723,3714.8411
3097.9524158235163,3698.1584
3097.9538047275937,3702.2686
3097.9551936321373,3699.5642
3097.9565825362156,3699.5703
3097.9579714407596,3692.1257
3097.9593603448375,3708.2039
3097.9607492493806,3711.2256
3097.9621381534594,3697.8933
3097.9635270575372,3694.2759
3097.9649159620803,3689.908
3097.9663048661587,3711.0828
3097.967693770237,3713.0432
3097.9690826743144,3709.8218
3097.970471578857,3682.4932
3097.9718604829354,3728.2493
3097.9732493870133,3709.7532
3097.9746382910907,3686.7317
3097.976027195169,3711.4978
3097.977416099713,3704.9229
3097.978805003791,3706.1843
3097.980193907869,3701.6543
3097.981582811947,3692.7742
3097.9829717160255,3709.1506
3097.984360620103,3712.2241
3097.985749524181,3706.0247
3097.9871384282596,3697.3179
3097.988527332337,3701.4802
3097.9899162364145,3698.634
3097.991305140492,3724.25
3097.9926940445703,3715.3679
3097.9940829486477,3688.6721
3097.9954718527256,3706.7788
3097.9968607563387,3688.083
3097.998249660416,3702.3643
3097.999638564494,3699.5337
3098.0010274685724,3699.4985
3098.0024163726507,3696.1775
3098.003805276263,3715.7673
3098.0051941803404,3701.6719
3098.006583084419,3706.0281
3098.007971988032,3697.5415
3098.009360892109,3715.01
3098.010749796186,3703.3101
3098.0121386997985,3697.4744
3098.0135276038764,3723.1001
3098.014916507954,3709.7856
3098.016305411567,3698.7795
3098.0176943156453,3694.0779
3098.0190832192575,3687.0396
3098.020472123335,3708.5784
3098.0218610269476,3680.2561
3098.023249931026,3688.761
3098.0246388346386,3704.1445
3098.0260277382504,3690.9617
3098.0274166423287,3703.1101
3098.02880554594,3695.3904
3098.030194450017,3698.6296
3098.0315833536297,3700.8977
3098.0329722572424,3706.7314
3098.034361160855,3706.1182
3098.0357500649325,3701.8728
3098.037138968545,3698.7959
3098.038527872157,3687.3643
