time,flux
3100.078819046621,3708.21
3100.080207940454,3699.1069
3100.0815968342863,3710.9641
3100.0829857285858,3697.0098
3100.0843746224195,3719.2781
3100.085763516253,3704.1047
3100.0871524100858,3702.1023
3100.0885413039196,3698.5901
3100.089930197753,3700.3005
3100.091319092052,3703.7603
3100.0927079858857,3692.5771
3100.0940968797195,3693.052
3100.0954857735524,3710.8003
3100.0968746673857,3698.3064
3100.09826356122,3704.5281
3100.0996524550524,3714.3093
3100.1010413493505,3703.5134
3100.1024302431842,3711.1755
3100.103819137018,3676.7449
3100.105208030851,3718.6421
3100.1065969246843,3711.9038
3100.1079858185185,3689.2158
3100.1093747123514,3682.7727
3100.1107636061847,3696.1484
3100.1121525000185,3718.2026
3100.1135413938523,3710.7712
3100.1149302876856,3705.6943
3100.1163191815185,3692.6863
3100.1177080753528,3699.1953
3100.119096969185,3704.5615
3100.1204858630176,3704.5796
3100.1218747568514,3682.5491
3100.123263650685,3695.9402
3100.1246525445185,3688.2966
3100.1260414383514,3713.438
3100.1274303321857,3704.3208
3100.128819226019,3682.4731
3100.130208119852,3670.1541
3100.1315970136857,3693.0813
3100.132985907054,3708.6687
3100.134374800887,3694.4841
3100.1357636947205,3692.2332
3100.1371525885543,3692.5146
3100.138541482387,3698.7407
3100.13993037622,3711.405
3100.141319270053,3689.3706
3100.1427081638867,3708.9666
3100.1440970572544,3704.7664
3100.1454859510877,3713.4402
3100.1468748449215,3681.2415
3100.1482637387553,3696.2087
3100.149652632588,3714.1785
3100.1510415264215,3691.5383
3100.15243041979,3700.1675
3100.153819313623,3690.9844
3100.1552082074563,3697.4495
3100.15659710129,3716.8289
3100.1579859946582,3680.2195
3100.1593748884907,3691.3787
3100.160763782323,3700.385
3100.1621526761573,3687.084
3100.1635415695246,3705.1367
3100.164930463358,3704.3613
3100.1663193571917,3710.7773
3100.1677082510255,3678.3503
3100.169097144393,3689.8684
3100.170486038226,3714.5068
3100.1718749320603,3704.1309
3100.173263825428,3700.2737
3100.174652719261,3693.9585
3100.1760416130946,3689.0264
3100.1774305064628,3677.2151
3100.178819400295,3691.8323
3100.1802082941276,3712.626
3100.181597187496,3695.0991
3100.1829860813295,3691.6138
3100.1843749746968,3707.0471
3100.1857638685306,3681.6443
3100.1871527623643,3706.3152
3100.188541655732,3712.3391
3100.1899305495654,3706.6384
3100.1913194429335,3707.3345
3100.1927083367664,3696.3149
3100.194097230134,3711.8892
3100.195486123968,3692.0859
3100.196875017336,3693.2866
3100.1982639111684,3704.1812
3100.1996528050013,3689.4268
3100.2010416983694,3702.7446
3100.2024305922023,3704.4219
3100.20381948557,3711.1216
3100.2052083794038,3705.9834
3100.2065972727723,3716.3396
3100.2079861661396,3694.5879
3100.209375059973,3691.96
3100.210763953341,3704.8059
3100.2121528471744,3711.2988
3100.2135417405416,3698.2773
3100.2149306343754,3700.9802
3100.2163195277435,3697.6431
3100.2177084215764,3705.3376
3100.219097314943,3699.2009
