time,flux
3106.7329800758616,3685.0271
3106.7343689589848,3696.5229
3106.7357578421083,3693.1509
3106.737146724766,3684.1484
3106.738535607889,3691.7466
3106.7399244910125,3683.6191
3106.7413133741356,3692.1191
3106.7427022572583,3687.8384
3106.744091140382,3683.5947
3106.7454800230394,3689.803
3106.7468689061616,3693.8635
3106.7482577892847,3685.5415
3106.7496466724083,3671.5969
3106.7510355555314,3681.2224
3106.752424438654,3699.9333
3106.753813321312,3683.2815
3106.755202204435,3711.5679
3106.7565910875583,3696.8899
3106.757979970682,3712.2632
3106.7593688538054,3709.3582
3106.7607577364624,3704.9778
3106.7621466195856,3694.5647
3106.7635355027096,3676.6006
3106.764924385832,3692.8813
3106.766313268954,3679.5759
3106.767702151612,3699.0222
3106.7690910347346,3682.9368
3106.7704799178578,3674.8708
3106.7718688009813,3684.1174
3106.7732576836397,3689.3145
3106.7746465667624,3700.7412
3106.7760354498855,3683.1418
3106.777424333009,3700.3403
3106.7788132156666,3674.6816
3106.7802020987892,3678.2517
3106.781590981913,3693.2515
3106.7829798650364,3697.7532
3106.7843687476925,3688.488
3106.7857576308156,3699.6074
3106.787146513939,3686.4763
3106.7885353970623,3696.1624
3106.7899242797193,3708.0151
3106.791313162843,3699.8313
3106.7927020459665,3686.1716
3106.794090929089,3670.1287
3106.795479811747,3675.2295
3106.7968686948698,3696.1089
3106.798257577993,3699.4973
3106.799646460651,3685.3408
3106.801035343775,3705.7917
3106.8024242268975,3666.8081
3106.805201992677,3713.0681
3106.8065908758,3690.3347
3106.807979758923,3677.5515
3106.8093686415814,3697.7271
3106.810757524704,3683.9243
3106.812146407827,3679.1802
3106.813535290485,3669.446
3106.8149241736087,3659.6028
3106.816313056732,3697.2891
3106.817701939389,3686.312
3106.8190908225124,3685.2861
3106.820479705636,3698.7283
3106.821868588293,3685.9709
3106.8232574714157,3711.7048
3106.8246463545383,3698.3064
3106.8260352371954,3684.9543
3106.827424120319,3689.4558
3106.828813003443,3687.6064
3106.8302018861004,3697.1055
3106.831590769223,3702.082
3106.8329796523467,3707.2544
3106.8343685350037,3685.5847
3106.835757418127,3674.8315
3106.837146301251,3692.6853
3106.838535183908,3679.1487
3106.839924067031,3699.4731
3106.841312949689,3693.7964
3106.842701832812,3673.5703
3106.844090715934,3687.3508
3106.8454795985917,3686.0391
3106.8468684817153,3693.3035
3106.848257364838,3683.6086
3106.8496462474955,3677.9878
3106.851035130619,3699.9263
3106.8524240132765,3695.1533
3106.853812896399,3690.0332
3106.855201779057,3679.0562
3106.856590662181,3682.2834
3106.8579795453043,3683.3376
3106.8593684279613,3683.4304
3106.860757311085,3687.8079
3106.8621461937414,3706.6284
3106.8635350768636,3682.7241
3106.8649239599877,3715.9253
3106.866312842645,3704.0913
3106.867701725768,3697.866
3106.8690906084257,3683.387
3106.8704794915493,3697.7485
3106.8718683742063,3684.6802
3106.87325725733,3679.041
3106.874646139988,3708.1953
3106.8760350231105,3689.5527
3106.8774239062336,3677.4531
3106.8788127888915,3678.9236
3106.8802016720147,3685.9507
3106.8815905546717,3674.7583
3106.8829794377953,3684.4307
3106.8843683204523,3700.9658
3106.885757203575,3702.6323
3106.8871460862324,3698.9922
3106.888534969356,3693.9548
3106.8899238520135,3689.1526
3106.891312735136,3702.4148
3106.8927016177945,3690.8354
3106.8940905009176,3701.5959
3106.8954793835746,3700.0938
3106.896868266698,3683.2205
3106.898257149356,3681.8057
3106.8996460324793,3681.2451
3106.9010349151367,3691.2529
3106.9024237982594,3693.5935
3106.9038126809164,3691.9961
3106.905201564039,3687.74
3106.906590446697,3683.554
3106.9079793298197,3699.9717
3106.9093682124776,3684.2612
3106.910757095601,3683.5432
3106.912145978259,3691.1453
3106.913534861382,3688.4905
3106.9149237440392,3696.6919
3106.916312627163,3699.9851
3106.9177015098203,3674.0332
3106.9190903929434,3712.3481
3106.9204792756013,3668.511
3106.921868158258,3684.8604
3106.92325704138,3676.8628
3106.924645924038,3675.2126
3106.9260348071616,3698.3435
3106.927423689819,3672.1431
3106.928812572942,3689.2903
3106.9302014556,3692.2349
3106.9315903387233,3685.3457
3106.9329792213803,3697.5891
3106.934368104038,3709.26
3106.935756987161,3703.8862
3106.937145869819,3687.2205
3106.9385347529424,3670.4023
3106.9399236356003,3687.9487
3106.941312518257,3694.0117
3106.942701401379,3679.8826
3106.944090284037,3694.3879
3106.94547916716,3698.2119
3106.9468680498176,3678.9438
3106.948256932941,3708.7217
3106.949645815598,3680.8611
3106.9510346982556,3701.8557
3106.952423581379,3691.416
3106.9538124640376,3687.1748
3106.9552013466946,3697.22
3106.9565902298177,3704.2236
3106.9579791124756,3691.9988
3106.9593679955988,3705.2449
3106.960756878255,3685.0139
3106.9621457609123,3685.908
3106.9635346440355,3689.4768
3106.964923526693,3684.7744
3106.966312409351,3708.54
3106.9677012924744,3681.5527
3106.969090175132,3702.8538
3106.970479057789,3698.1333
3106.9718679409125,3671.6069
3106.9732568235704,3684.8689
3106.9746457062274,3693.6694
3106.976034589351,3700.1707
3106.977423472008,3676.6289
3106.978812355131,3687.6985
3106.9802012377886,3687.2466
3106.9815901204456,3695.2463
3106.9829790031035,3696.6333
3106.984367886226,3688.9839
3106.985756768884,3682.2239
3106.987145651541,3678.1665
3106.9885345346643,3691.665
3106.989923417322,3690.5188
3106.9913122999797,3693.146
3106.992701183103,3680.1997
3106.9940900657607,3696.2378
3106.9954789484186,3700.7568
3106.9968678315417,3680.7424
3106.9982567141988,3674.5042
3106.999645596856,3688.5479
3107.001034479513,3705.6423
3107.002423362636,3688.8457
3107.003812245294,3689.2559
3107.0052011279513,3691.9561
3107.006590011074,3705.5996
3107.007978893732,3677.8149
3107.00936777639,3705.4893
3107.0107566590477,3699.2456
3107.0121455421704,3719.1938
3107.0135344248283,3702.6064
3107.0149233074853,3687.5684
3107.016312190143,3673.5645
3107.017701073267,3679.8618
3107.0190899559234,3684.8215
3107.02047883858,3687.3262
3107.021867721238,3706.9263
3107.0232566043614,3701.2441
3107.0246454870185,3712.1189
3107.026034369676,3681.0525
3107.0274232523343,3701.9941
3107.028812135457,3688.175
3107.0302010181144,3688.7761
3107.0315899007724,3699.5234
3107.03297878343,3704.6753
3107.034367666087,3656.9875
3107.0357565492104,3677.7544
3107.037145431869,3699.8926
3107.0385343145254,3676.5266
3107.039923197182,3694.332
3107.0413120803055,3699.4172
3107.042700962963,3690.3301
3107.04408984562,3694.9893
3107.045478728278,3698.8896
3107.046867610936,3701.3682
3107.048256493593,3699.4133
3107.0496453767164,3709.0818
3107.0510342593743,3695.521
3107.0524231420313,3696.7783
3107.0538120246893,3698.8818
3107.055200907347,3685.5286
3107.05658979047,3690.7427
3107.057978673127,3687.2893
3107.059367555784,3686.269
3107.060756438441,3701.3948
3107.0621453210983,3702.4421
3107.0635342037567,3695.8438
3107.0649230868803,3705.2842
3107.0663119695373,3670.1541
3107.067700852195,3687.2393
3107.0690897348527,3696.0559
3107.07047861751,3685.0134
3107.071867500167,3685.7803
3107.0732563828255,3690.3711
3107.0746452659487,3683.0615
3107.0760341486057,3700.4019
3107.0774230312627,3705.4297
3107.07881191392,3696.802
3107.0802007965776,3700.1082
3107.0815896792346,3711.8608
3107.082978561893,3701.6353
3107.0843674445505,3685.679
3107.085756327673,3699.4092
3107.087145210331,3690.0276
3107.088534092988,3691.7703
3107.089922975646,3700.8103
3107.091311858304,3692.7241
3107.092700740962,3682.9456
3107.094089623619,3704.8057
3107.0954785062763,3689.9792
3107.096867388934,3701.761
3107.09825627159,3680.488
3107.0996451547135,3688.2625
3107.1010340373714,3705.8906
3107.1024229200284,3687.2783
3107.103811802686,3710.1052
3107.105200685344,3697.4089
3107.1065895680017,3701.2146
3107.107978450659,3682.4353
3107.1093673333166,3681.2124
3107.1107562159746,3693.4807
3107.112145098632,3690.2219
3107.113533981289,3714.2161
3107.114922863947,3708.4944
3107.1163117466035,3697.5071
3107.11770062926,3689.6248
3107.1190895119184,3676.7107
3107.120478395042,3697.3906
3107.1218672776995,3671.4304
3107.1232561603565,3685.9419
3107.1246450430144,3690.5498
3107.1260339256714,3696.7954
3107.1274228083294,3670.5171
3107.1288116909873,3686.9719
3107.1302005736443,3686.0
3107.1315894563018,3699.8359
3107.1329783389597,3681.8025
3107.1343672216176,3692.2776
3107.135756104274,3684.6394
3107.137144986931,3692.219
3107.138533869589,3702.3643
3107.139922752246,3697.4148
3107.1413116349036,3707.145
3107.1427005175615,3696.0125
3107.144089400219,3673.5867
3107.145478282876,3691.48
3107.1468671655343,3701.9551
3107.1482560481923,3689.0808
3107.1496449308497,3695.7693
3107.1510338135067,3700.365
3107.1524226961646,3687.6155
3107.153811578822,3683.5261
3107.1552004614796,3684.6072
3107.1565893441366,3699.283
3107.1579782267936,3695.7012
3107.1593671094506,3699.7637
3107.1607559921085,3674.2402
3107.1621448747665,3687.1162
3107.1635337574244,3704.5444
3107.1649226396157,3678.0532
3107.1663115222736,3690.2854
3107.1677004049307,3704.1943
3107.169089287588,3697.4204
3107.170478170246,3692.3997
3107.1718670529035,3697.6448
3107.173255935561,3709.4871
3107.174644818219,3681.2947
3107.1760337008764,3704.9312
3107.1774225835325,3694.988
3107.17881146619,3678.2178
3107.180200348848,3669.6897
3107.1815892315053,3677.689
3107.182978114163,3690.8469
3107.1843669968207,3692.7007
3107.185755879478,3678.5601
3107.1871447616695,3690.9065
3107.1885336443274,3692.0349
3107.1899225269854,3708.5835
3107.1913114096433,3691.7485
3107.1927002923003,3683.988
3107.194089174958,3674.5073
3107.1954780576148,3682.5471
3107.1968669402713,3697.5166
3107.1982558229292,3704.1841
3107.1996447055867,3704.3386
3107.2010335877785,3686.585
3107.2024224704364,3703.6816
3107.2038113530944,3679.823
3107.2052002357514,3697.9419
3107.206589118409,3678.5923
3107.207978001067,3688.9187
3107.209366883724,3700.8342
3107.2107557663817,3692.177
3107.212144648574,3683.2561
3107.2135335312314,3712.2803
3107.2149224138875,3709.47
3107.216311296545,3685.5186
3107.2177001792024,3703.616
