time,flux
3117.8217537206388,3697.9429
3117.8231425818763,3697.0483
3117.8245314426476,3687.605
3117.825920303419,3680.4817
3117.827309164656,3677.6746
3117.828698025426,3683.0325
3117.8300868861975,3685.1897
3117.8314757469693,3676.6523
3117.8328646077407,3694.5095
3117.8342534689773,3678.6587
3117.8356423297496,3697.1516
3117.837031190521,3700.2949
3117.838420051292,3697.4587
3117.8398089125294,3695.4539
3117.8411977733003,3695.6233
3117.842586634072,3696.9287
3117.843975494844,3693.0029
3117.845364355615,3684.4082
3117.8467532168515,3711.2087
3117.8481420776225,3707.4524
3117.8495309383934,3673.834
3117.850919799165,3682.6719
3117.852308659937,3674.9497
3117.853697520709,3704.7451
3117.8550863819455,3668.4741
3117.856475242717,3694.4905
3117.8578641034887,3685.2312
3117.85925296426,3690.1111
3117.860641825031,3693.2249
3117.8620306858033,3688.6956
3117.8634195465747,3696.342
3117.8648084078113,3698.678
3117.8661972685823,3704.1743
3117.867586129353,3709.1428
3117.868974990124,3680.2239
3117.870363850896,3709.1172
3117.871752711668,3694.0552
3117.8731415724387,3710.8862
3117.8745304332106,3702.7278
3117.8759192939815,3694.4812
3117.877308154753,3678.8542
3117.878697015991,3685.1262
3117.8800858767618,3683.8518
3117.881474737533,3696.8159
3117.882863598305,3711.7839
3117.884252459077,3687.1484
3117.8856413198473,3691.0264
3117.887030180618,3690.4656
3117.88841904139,3690.7578
3117.889807902161,3706.907
3117.8911967629324,3683.4062
3117.8925856237042,3703.8164
3117.8939744844756,3685.6594
3117.8953633452466,3701.4827
3117.8967522060184,3689.4382
3117.89814106679,3698.448
3117.899529927561,3676.1379
3117.900918788333,3692.47
3117.902307649104,3677.7068
3117.9036965098753,3670.9648
3117.9050853706467,3701.7732
3117.906474231417,3715.7295
3117.9078630921886,3697.4836
3117.9092519529604,3685.3604
3117.9106408137313,3708.698
3117.9120296745027,3681.3677
3117.9134185352746,3685.4312
3117.9148073960464,3699.562
3117.916196256818,3693.6033
3117.917585117589,3680.9258
3117.918973978361,3666.031
3117.9203628391324,3678.0166
3117.9217516999033,3690.769
3117.923140560675,3692.1323
3117.9245294214466,3693.427
3117.925918282217,3700.8342
3117.9273071429884,3690.9922
3117.928696003294,3690.8801
3117.930084864065,3684.3201
3117.931473724837,3704.5073
3117.932862585608,3685.3386
3117.9342514463797,3694.136
3117.9356403071515,3681.8154
3117.9370291679224,3686.5293
3117.9398068894657,3694.0679
3117.9411957497714,3685.6504
3117.9425846105423,3690.2412
3117.9439734713146,3684.5239
3117.945362332085,3699.6238
3117.9467511928556,3694.9734
3117.9481400536274,3682.2771
3117.9495289143993,3701.5168
3117.950917774705,3685.2546
3117.952306635476,3691.064
3117.953695496248,3674.3223
3117.9550843570196,3690.4961
3117.9564732177905,3709.2695
3117.9578620785624,3696.5093
3117.9592509388676,3681.8035
3117.9606397996395,3712.9771
3117.9620286604113,3686.2122
3117.9634175211822,3683.5618
3117.964806381953,3694.9568
3117.9661952422584,3697.3301
3117.9675841030294,3676.0347
3117.9689729638008,3687.0449
3117.970361824573,3699.1677
3117.971750685344,3669.7148
3117.9731395456497,3681.9592
3117.9745284064215,3704.0093
3117.975917267193,3685.23
3117.977306127964,3679.1062
3117.97869498827,3694.1982
3117.980083849042,3681.384
3117.9814727098137,3688.5286
3117.9828615705846,3671.8899
3117.98425043089,3698.667
3117.985639291661,3702.8953
3117.987028152432,3674.7041
3117.9884170132036,3687.1116
3117.98980587351,3681.8191
3117.9911947342807,3698.2681
