time,flux
3104.5149317849887,3694.6406
3104.5163206709058,3687.8499
3104.5177095568215,3691.7031
3104.5190984422734,3688.2336
3104.52048732819,3702.9265
3104.521876214107,3696.562
3104.523265099559,3691.6006
3104.5246539854766,3683.5134
3104.526042870928,3685.4045
3104.5274317568446,3712.5515
3104.5288206427626,3702.813
3104.530209528214,3695.2095
3104.5315984141307,3715.8059
3104.5329873000483,3684.4563
3104.5343761855,3684.8176
3104.535765071417,3675.1763
3104.5371539568678,3689.7034
3104.538542842785,3707.5945
3104.539931728702,3703.3489
3104.541320614153,3697.4402
3104.5427095000705,3698.134
3104.5440983855215,3678.6648
3104.545487271439,3701.2764
3104.546876156891,3705.3789
3104.5482650428085,3695.6926
3104.549653928725,3702.7844
3104.5510428141765,3697.1108
3104.552431700094,3693.0581
3104.5538205855455,3694.7864
3104.555209471462,3697.0479
3104.556598356914,3702.5706
3104.5579872428307,3694.9866
3104.5593761282817,3682.9177
3104.5607650141988,3679.0776
3104.5621538996506,3698.5439
3104.5635427855677,3682.0012
3104.564931671019,3677.345
3104.5663205569367,3686.562
3104.567709442388,3688.856
3104.569098328305,3715.7183
3104.5704872137567,3690.4436
3104.5718760996742,3701.8306
3104.5732649851257,3708.7625
3104.5746538710428,3698.4785
3104.5760427564937,3703.9614
3104.5774316424104,3709.9902
3104.5788205278614,3690.2278
3104.580209413779,3690.1206
3104.581598299231,3693.3711
3104.5829871851483,3684.1362
3104.5843760705993,3692.7134
3104.585764956517,3689.0227
3104.587153841968,3698.5535
3104.5885427274193,3703.2312
3104.589931613337,3698.4312
3104.5913204987883,3701.2129
3104.5927093847054,3696.7261
3104.5940982701572,3684.1482
3104.5954871560743,3689.7009
3104.5968760415244,3680.7578
3104.598264926976,3706.0784
3104.599653812894,3699.7202
3104.601042698345,3686.7378
3104.602431584262,3706.9839
3104.603820469714,3690.6689
3104.6052093551657,3708.5215
3104.606598241083,3679.8057
3104.6079871265338,3693.5176
3104.6093760124513,3686.3601
3104.610764897903,3693.3643
3104.612153783354,3683.7627
3104.6135426692717,3696.2822
3104.6149315547223,3688.5029
3104.616320440173,3711.5469
3104.6177093260903,3695.3655
3104.6190982115427,3700.0073
3104.620487096994,3686.4697
3104.6218759829108,3692.2969
3104.6232648683626,3690.3005
3104.6246537538136,3693.698
3104.6260426397307,3716.8452
3104.627431525183,3687.4055
3104.628820410635,3691.2078
3104.6302092965516,3680.1091
3104.631598182003,3707.4382
3104.632987067455,3698.3076
3104.634375953371,3712.3486
3104.635764838822,3694.5371
3104.637153724274,3708.4465
3104.6385426101906,3690.2612
3104.639931495642,3690.075
3104.641320381094,3692.7068
3104.642709266546,3703.5793
3104.644098152463,3687.0522
3104.645487037914,3692.3079
3104.646875923366,3704.2144
3104.6482648092833,3703.9905
3104.6496536947343,3698.6843
3104.651042580186,3705.6851
3104.652431465637,3692.7546
3104.653820351554,3687.5908
3104.655209237005,3683.9976
3104.656598122457,3705.5095
3104.6579870079086,3700.709
3104.659375893825,3679.9456
3104.660764779277,3683.5408
3104.662153664728,3696.4019
3104.66354255018,3699.5249
3104.664931435632,3686.6389
